Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m),NDVI,Land Use,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pd (mg/kg)
S1,16.6542455,-23.791474,89.990,321.3,1554,0.0655,barren,2473,1535,233,91.2,7.6,1.2,7.3,100,50.0,1.56,247.98,30.21,9.123
S2,16.6542978,-23.7919629,89.987,264.2,1557,0.0684,barren,2507,1533,227,87.9,10.4,1.6,7.9,137,68.0,1.65,359.081,31.586,8.282
S3,16.65422,-23.7924176,89.993,139.8,1555,0.0672,barren,2529,1521,200,91.8,7.0,1.3,7.1,109,54.5,2.62,243.819,31.527,5.749
S4,16.6541637,-23.7929556,89.992,145.3,1551,0.0590,barren,2559,1511,176,89.7,8.8,1.5,7.5,90,44.5,2.25,314.907,34.707,9.071
S5,16.6537479,-23.7927449,89.992,176.2,1554,0.0593,barren,2511,1470,141,86.4,12.0,1.6,8.0,119,59.5,2.12,384.931,26.657,8.338
S6,16.6537345,-23.7922286,89.936,25.2,1556,0.0615,barren,2477,1473,162,89.0,9.4,1.6,8.0,179,89.5,3.39,132.867,22.824,6.566
S7,16.6538157,-23.7917012,89.988,338.2,1555,0.0594,barren,2450,1488,185,87.1,11.4,1.5,7.5,486,242.5,1.97,121.958,26.613,5.643
S8,16.6537617,-23.7910772,89.936,314.5,1552,0.0658,barren,2408,1493,193,88.6,9.8,1.6,7.2,591,295.0,2.80,58.462,19.708,7.113
S9,16.6535273,-23.7905186,89.987,126.9,1555,0.0664,barren,2355,1481,181,89.4,8.6,2.0,8.1,246,122.5,3.42,125.126,29.015,6.654
S10,16.6533134,-23.7900213,89.985,346.0,1554,0.0657,barren,2308,1469,170,86.9,11.2,1.9,7.5,140,70.5,2.47,99.254,17.899,4.950
S11,16.6529054,-23.7895304,89.986,206.6,1554,0.0685,barren,2244,1425,146,88.7,9.3,2.0,7.6,87,43.0,2.43,73.397,18.61,4.744
S12,16.652783,-23.7890362,89.987,216.9,1555,0.0702,barren,2206,1411,170,87.3,10.7,2.0,6.8,72,36.0,1.41,60.152,20.303,5.340
S13,16.6532356,-23.7886652,89.989,192.4,1554,0.0678,barren,2227,1458,231,95.4,3.9,0.8,7.2,94,47.0,1.29,123.04,19.87,6.514
S14,16.6533922,-23.7892208,89.983,113.2,1554,0.0678,barren,2270,1473,206,88.9,9.6,1.5,7.2,89,45.0,1.63,178.468,22.746,6.066
S15,16.6536463,-23.7897255,89.985,284.0,1554,0.0673,barren,2320,1501,210,84.4,13.8,1.8,7.7,71,35.0,1.50,213.765,26.07,7.630
S16,16.6538841,-23.7902842,89.987,143.1,1554,0.0670,barren,2372,1522,222,89.2,8.9,1.9,7.8,108,54.0,2.03,167.496,26.167,6.440
