Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m)
S1,16.6542455,-23.791474,4.54993,338.19861,1554
S2,16.6542978,-23.7919629,4.22451,126.8699,1557
S3,16.65422,-23.7924176,6.00415,140.7106,1555
S4,16.6541637,-23.7929556,6.09267,123.69006,1551
S5,16.6537479,-23.7927449,3.04634,146.30994,1554
S6,16.6537345,-23.7922286,1.33591,198.43495,1556
S7,16.6538157,-23.7917012,4.54993,338.19861,1555
S8,16.6537617,-23.7910772,0.8449,63.43495,1552
S9,16.6535273,-23.7905186,4.22451,126.8699,1555
S10,16.6533134,-23.7900213,3.48362,345.96375,1554
S11,16.6529054,-23.7895304,3.48362,194.03625,1554
S12,16.652783,-23.7890362,2.15408,348.69006,1555
S13,16.6532356,-23.7886652,4.54993,21.80141,1554
S14,16.6533922,-23.7892208,1.33591,341.56506,1554
S15,16.6536463,-23.7897255,3.48362,284.03625,1554
S16,16.6538841,-23.7902842,4.22451,143.1301,1554
S17,16.6539354,-23.7907198,1.79231,135,1553
S18,16.6551289,-23.7913496,2.15408,168.69006,1557
S19,16.6552309,-23.7917362,5.13933,170.53769,1555
S20,16.6552848,-23.7921089,5.10449,204.44395,1552
S21,16.6554143,-23.7924369,7.38987,210.96375,1548
S22,16.6555319,-23.7927973,3.37961,180,1547
S23,16.6556439,-23.7932063,4.81668,142.12502,1544
S24,16.6552181,-23.7933275,5.97436,135,1546
S25,16.6553569,-23.7937066,6.09267,123.69006,1544
S26,16.6555541,-23.7941677,7.26812,125.53767,1541
S27,16.6556986,-23.7944184,5.66777,116.56505,1539
S28,16.6522177,-23.7947279,5.50808,147.52881,1546
S29,16.6518546,-23.7950322,6.75921,180,1545
S30,16.6513775,-23.7951942,6.96724,194.03625,1542
S31,16.6509095,-23.7952878,5.91431,180,1542
S32,16.6504662,-23.7954491,5.66777,206.56505,1540
S33,16.6505605,-23.7958415,2.5347,180,1540
S34,16.6510459,-23.7960605,2.98718,135,1538
S35,16.6515287,-23.7961756,1.33591,251.56505,1536
S36,16.6521128,-23.7961004,4.22451,216.8699,1539
S37,16.6523881,-23.7957694,3.58461,225,1541
S38,16.6522784,-23.7961286,4.22451,216.8699,1539
S39,16.6524025,-23.7965278,7.21884,159.44395,1536
S40,16.6515478,-23.7969152,6.96724,194.03625,1536
S41,16.6507026,-23.7972655,3.82545,186.34019,1535
S42,16.632273,-23.78967,5.37692,315,1540
S43,16.6359454,-23.7911613,2.98718,81.8699,1546
S44,16.6357017,-23.7915567,6.43458,23.19859,1550
S45,16.6353305,-23.7911772,3.48362,255.96376,1546
S46,16.6364199,-23.7919442,7.78961,49.3987,1550
S47,16.6361288,-23.7924857,2.98718,351.8699,1552
S48,16.6356605,-23.7926584,2.46329,329.03625,1552
S49,16.635226,-23.792849,3.77851,333.43494,1551
S50,16.634758,-23.792796,4.22451,306.8699,1550
S51,16.6343495,-23.792879,4.92658,300.96375,1549
S52,16.6343133,-23.7924102,6.9928,295.01691,1549
S53,16.627265,-23.791234,3.04634,213.69006,1550
S54,16.627686,-23.790871,1.79231,45,1549
S55,16.628223,-23.790522,4.66612,174.80557,1549
S56,16.628769,-23.790473,5.66777,153.43495,1547
S57,16.6299135,-23.79039,5.34363,161.56505,1546
S58,16.630422,-23.790321,5.41001,141.34019,1543
S59,16.630868,-23.790152,2.67181,108.43495,1542
S60,16.63156,-23.789918,3.63406,35.53768,1540
S61,16.631861,-23.789641,5.66777,26.56505,1539
S62,16.6428,-23.78649,5.91431,180,1539
S63,16.64311,-23.787264,4.3494,240.94539,1536
S64,16.643443,-23.78656,1.88926,243.43495,1539
S65,16.643854,-23.786543,3.21729,336.80139,1539
S66,16.643782,-23.786165,4.54993,158.19859,1539
S67,16.65399,-23.7967,1.6898,180,1540
S68,16.65412,-23.7963,2.38974,135,1540
S69,16.654,-23.79587,2.46329,149.03624,1540
S70,16.65412,-23.79583,1.33591,108.43495,1539
S71,16.65421,-23.79505,2.46329,149.03624,1541
S72,16.65423,-23.79454,5.06941,180,1544
S73,16.65445,-23.79429,4.66612,185.19443,1546
S74,16.65389,-23.79424,4.22451,180,1546
S75,16.65346,-23.79421,1.88926,206.56505,1545
S76,16.65305,-23.79441,1.79231,135,1546
S77,16.65261,-23.79449,4.54993,158.19859,1547
S78,16.65492,-23.78974,4.22451,53.1301,1554
S79,16.6548,-23.79014,5.41001,308.65979,1556
S80,16.65468,-23.79057,6.23741,298.30075,1557
S81,16.65499,-23.78932,6.35083,86.18593,1554
S82,16.65503,-23.78892,5.66777,26.56505,1553
S83,16.6551,-23.78846,4.00772,18.43495,1550
S84,16.65512,-23.78805,2.98718,45,1549
S85,16.65504,-23.78767,5.50808,4.3987,1548
S86,16.65466,-23.79132,2.15408,258.69006,1556
S87,16.65464,-23.79104,4.22451,233.1301,1556
S88,16.65349,-23.79673,5.91431,270,1539
S89,16.65302,-23.79683,4.00772,341.56506,1536
S90,16.65259,-23.79689,5.34363,18.43495,1537
