Sample_ID,Longitude,Latitude,Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
S1,16.6542455,-23.791474,247.98,30.21,9.123
S2,16.6542978,-23.7919629,359.081,31.586,8.282
S3,16.65422,-23.7924176,243.819,31.527,5.749
S4,16.6541637,-23.7929556,314.907,34.707,9.071
S5,16.6537479,-23.7927449,384.931,26.657,8.338
S6,16.6537345,-23.7922286,132.867,22.824,6.566
S7,16.6538157,-23.7917012,121.958,26.613,5.643
S8,16.6537617,-23.7910772,58.462,19.708,7.113
S9,16.6535273,-23.7905186,125.126,29.015,6.654
S10,16.6533134,-23.7900213,99.254,17.899,4.95
S11,16.6529054,-23.7895304,73.397,18.61,4.744
S12,16.652783,-23.7890362,60.152,20.303,5.34
S13,16.6532356,-23.7886652,123.04,19.87,6.514
S14,16.6533922,-23.7892208,178.468,22.746,6.066
S15,16.6536463,-23.7897255,213.765,26.07,7.63
S16,16.6538841,-23.7902842,167.496,26.167,6.44
S17,16.6539354,-23.7907198,310.921,29.061,8.78
S18,16.6551289,-23.7913496,58.653,22.727,6.197
S19,16.6552309,-23.7917362,36.973,23.714,6.382
S20,16.6552848,-23.7921089,49.061,16.505,3.617
S21,16.6554143,-23.7924369,54.783,23.942,3.372
S22,16.6555319,-23.7927973,155.584,65.754,9.121
S23,16.6556439,-23.7932063,37.72,46.059,4.321
S24,16.6552181,-23.7933275,123.828,54.678,8.443
S25,16.6553569,-23.7937066,80.375,32.715,7.482
S26,16.6555541,-23.7941677,96.893,32.592,6.472
S27,16.6556986,-23.7944184,95.876,39.46,9.167
S28,16.6522177,-23.7947279,89.981,36.83,7.707
S29,16.6518546,-23.7950322,47.615,26.91,6.446
S30,16.6513775,-23.7951942,40.951,28.95,5.374
S31,16.6509095,-23.7952878,88.073,29.26,7.231
S32,16.6504662,-23.7954491,40.71,31.865,6.599
S33,16.6505605,-23.7958415,,,
S34,16.6510459,-23.7960605,39.384,25.117,5.835
S35,16.6515287,-23.7961756,51.05,19.256,6.655
S36,16.6521128,-23.7961004,94.136,20.47,5.454
S37,16.6523881,-23.7957694,31.306,21.806,4.923
S38,16.6522784,-23.7961286,30.353,15.872,5.908
S39,16.6524025,-23.7965278,132.498,26.583,4.331
S40,16.6515478,-23.7969152,72.538,18.235,4.773
S41,16.6507026,-23.7972655,21.381,34.107,5.547
S42,16.632273,-23.78967,13.275,18.008,7.437
S43,16.6359454,-23.7911613,148.463,18.624,5.662
S44,16.6357017,-23.7915567,59.463,22.532,4.921
S45,16.6353305,-23.7911772,212.781,30.855,9.755
S46,16.6364199,-23.7919442,117.323,33.297,10.016
S47,16.6361288,-23.7924857,72.583,70.685,59.105
S48,16.6356605,-23.7926584,21.476,11.909,4.767
S49,16.635226,-23.792849,46.818,30.188,60.017
S50,16.634758,-23.792796,105,132.337,45.8
S51,16.6343495,-23.792879,53.52,25.213,20.548
S52,16.6343133,-23.7924102,98.302,20.039,8.207
S53,16.627265,-23.791234,17.752,29.078,13.204
S54,16.627686,-23.790871,18.805,29.841,5.605
S55,16.628223,-23.790522,23.904,25.471,7.103
S56,16.628769,-23.790473,18.334,18.72,7.965
S57,16.6299135,-23.79039,16.519,26.027,8.488
S58,16.630422,-23.790321,16.735,22.995,6.276
S59,16.630868,-23.790152,66.985,63.89,24.319
S60,16.63156,-23.789918,104.175,92.416,25.918
S61,16.631861,-23.789641,87.777,45.442,17.236
S62,16.6428,-23.78649,173.682,20.738,7.24
S63,16.64311,-23.787264,25.786,23.744,6.672
S64,16.643443,-23.78656,87.868,27.597,36.567
S65,16.643854,-23.786543,24.812,13.952,6.19
S66,16.643782,-23.786165,47.135,20.368,6.964
S67,16.65399,-23.7967,43.08,23.491,4.394
S68,16.65412,-23.7963,87.472,43.901,22.797
S69,16.654,-23.79587,200.787,25.961,6.144
S70,16.65412,-23.79583,184.187,21.663,6.962
S71,16.65421,-23.79505,94.22,31.944,7.288
S72,16.65423,-23.79454,23.95,36.388,5.481
S73,16.65445,-23.79429,54.154,18.302,5.563
S74,16.65389,-23.79424,102.285,33.954,7.389
S75,16.65346,-23.79421,63.618,24.769,6.614
S76,16.65305,-23.79441,86.128,31.006,7.551
S77,16.65261,-23.79449,112.335,30.232,7.787
S78,16.65492,-23.78974,17.251,18.152,4.508
S79,16.6548,-23.79014,22.176,30.845,5.364
S80,16.65468,-23.79057,25.034,20.481,5.563
S81,16.65499,-23.78932,36.788,19.39,4.834
S82,16.65503,-23.78892,43.341,18.017,5.682
S83,16.6551,-23.78846,37.107,20.513,5.533
S84,16.65512,-23.78805,35.787,18.543,6.474
S85,16.65504,-23.78767,521.447,26.655,17.895
S86,16.65466,-23.79132,51.764,25.345,6.417
S87,16.65464,-23.79104,26.522,26.43,5.799
S88,16.65349,-23.79673,24.127,22.052,4.598
S89,16.65302,-23.79683,23.513,17.311,4.486
S90,16.65259,-23.79689,34.476,27.203,4.418
S91,16.65213,-23.797,15.705,22.506,5.393
S92,16.65115,-23.79695,43.658,16.021,5.399
S93,16.63578,-23.79051,499.081,72.544,11.335
S94,16.63535,-23.7906,37.994,27.147,5.497
S95,16.63492,-23.79074,57.721,26.161,4.973
S96,16.63447,-23.79081,48.77,22.239,4.545
S97,16.63402,-23.79099,33.397,22.823,5.27
S98,16.63361,-23.7911,102.606,20.621,8.503
S99,16.63326,-23.79084,98.168,33.633,22.109
S100,16.63316,-23.79039,15.872,18.994,4.741
S101,16.63362,-23.79027,39.91,22.124,7.422
S102,16.63405,-23.7901,33.34,20.815,6.208
S103,16.63317,-23.78972,24.362,29.416,8.293
S104,16.63278,-23.78956,18.921,26.123,8.809
S105,16.63244,-23.7901,35.81,50.214,19.192
S106,16.632,-23.79036,24.266,76.589,21.148
S107,16.63159,-23.79059,11.436,30.837,8.813
S108,16.63123,-23.79075,46.966,19.033,5.731
S109,16.63076,-23.79094,84.181,56.172,44.912
S110,16.63031,-23.79118,26.106,22.893,6.894
S111,16.629914,-23.791313,19.526,42.374,10.842
S112,16.629513,-23.791463,19.636,31.981,7.324
