Sample_ID,Longitude,Latitude,pH,EC (µs/cm),TDS (mg/L)
S1,16.6542455,-23.791474,7.3,100,50.0
S2,16.6542978,-23.7919629,7.9,137,68.0
S3,16.65422,-23.7924176,7.1,109,54.5
S4,16.6541637,-23.7929556,7.5,90,44.5
S5,16.6537479,-23.7927449,8.0,119,59.5
S6,16.6537345,-23.7922286,8.0,179,89.5
S7,16.6538157,-23.7917012,7.5,486,242.5
S8,16.6537617,-23.7910772,7.2,591,295.0
S9,16.6535273,-23.7905186,8.1,246,122.5
S10,16.6533134,-23.7900213,7.5,140,70.5
S11,16.6529054,-23.7895304,7.6,87,43.0
S12,16.652783,-23.7890362,6.8,72,36.0
S13,16.6532356,-23.7886652,7.2,94,47.0
S14,16.6533922,-23.7892208,7.2,89,45.0
S15,16.6536463,-23.7897255,7.7,71,35.0
S16,16.6538841,-23.7902842,7.8,108,54.0
S17,16.6539354,-23.7907198,7.3,82,41.0
S18,16.6551289,-23.7913496,7.2,104,52.0
S19,16.6552309,-23.7917362,7.4,131,65.5
S20,16.6552848,-23.7921089,8.0,86,43.0
S21,16.6554143,-23.7924369,7.9,105,52.0
S22,16.6555319,-23.7927973,7.6,177,88.5
S23,16.6556439,-23.7932063,7.7,201,101.0
S24,16.6552181,-23.7933275,7.7,163,81.0
S25,16.6553569,-23.7937066,8.0,194,97.5
S26,16.6555541,-23.7941677,7.5,226,113.0
S27,16.6556986,-23.7944184,7.9,129,64.0
S28,16.6522177,-23.7947279,7.3,162,81.0
S29,16.6518546,-23.7950322,7.5,71,35.5
S30,16.6513775,-23.7951942,7.3,153,76.0
S31,16.6509095,-23.7952878,8.0,129,64.5
S32,16.6504662,-23.7954491,7.0,124,61.5
S33,16.6505605,-23.7958415,,,
S34,16.6510459,-23.7960605,7.9,244,122.0
S35,16.6515287,-23.7961756,7.2,81,40.5
S36,16.6521128,-23.7961004,8.0,89,44.5
S37,16.6523881,-23.7957694,7.9,158,78.5
S38,16.6522784,-23.7961286,8.1,138,69.0
S39,16.6524025,-23.7965278,8.0,103,51.5
S40,16.6515478,-23.7969152,7.7,70,34.5
S41,16.6507026,-23.7972655,7.0,140,70.5
S42,16.632273,-23.78967,7.1,116,58.0
S43,16.6359454,-23.7911613,7.6,112,55.5
S44,16.6357017,-23.7915567,8.4,289,144.5
S45,16.6353305,-23.7911772,7.2,4645,2320.5
S46,16.6364199,-23.7919442,8.0,170,85.0
S47,16.6361288,-23.7924857,7.7,166,83.5
S48,16.6356605,-23.7926584,6.9,121,60.5
S49,16.635226,-23.792849,8.2,556,277.5
S50,16.634758,-23.792796,7.3,294,146.5
S51,16.6343495,-23.792879,7.6,232,116.0
S52,16.6343133,-23.7924102,7.9,226,114.0
S53,16.627265,-23.791234,7.7,181,90.5
S54,16.627686,-23.790871,7.7,205,102.0
S55,16.628223,-23.790522,7.7,499,249.5
