,Slope (%),aspect_sin,aspect_cos,Elevation (m),NDVI,Dist_Near_Road (m),Dist_Tailing (m),Silt (%),Clay (%),pH,TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
Slope (%),1.0,-0.02751971980179365,0.006002398455790351,-0.07496685785322121,0.16703066321576138,-0.05094355118987222,0.07736638735489036,-0.0646534549570962,-0.0058629584263079244,0.1378879156599939,0.09173207592429554,0.2414421688776231,-0.033258927743950784,0.07770806230143516,-0.1303207583763264
aspect_sin,-0.02751971980179365,1.0,-0.08282518696323307,0.0026315212525597183,-0.06840169324203896,0.0867866204816926,0.03613868645981553,0.07405781617123935,0.03682940528990348,-0.012710075979812201,0.12251594445971013,0.1388446352096238,0.11199161525582406,0.2374050191717951,0.17203013754051916
aspect_cos,0.006002398455790351,-0.08282518696323307,1.0,0.13625796923943426,0.33644272909263623,-0.19314540980051648,0.33082015288082145,0.07438876461020444,-0.1843985649860961,0.1318540587812206,0.002383366581527841,-0.047023039354144876,-0.032053197200602915,-0.1095242342795899,0.04387957579176582
Elevation (m),-0.07496685785322121,0.0026315212525597183,0.13625796923943426,1.0,0.06353811267148517,0.3402606340356019,-0.31870415062598983,-0.09359103610205273,-0.20819943373562824,-0.19120191618242494,-0.14198585461764984,0.03235629929156477,0.2711403633209101,-0.006732009409926753,0.0038057262745588515
NDVI,0.16703066321576138,-0.06840169324203896,0.33644272909263623,0.06353811267148517,1.0,-0.0486007138063619,0.3056331532158883,-0.06010655620911584,-0.31226687349243953,0.028331701078350903,0.06861288886675226,0.006347360568756534,-0.07754529853719629,-0.09426275383209347,0.06868212645415227
Dist_Near_Road (m),-0.05094355118987222,0.0867866204816926,-0.19314540980051648,0.3402606340356019,-0.0486007138063619,1.0,-0.6492032549721494,-0.15199259263698991,0.046430274136517784,-0.0601254153514824,-0.4399619993864961,0.07566332946453906,0.27349276103559106,-0.056630101139523145,-0.29168559054907317
Dist_Tailing (m),0.07736638735489036,0.03613868645981553,0.33082015288082145,-0.31870415062598983,0.3056331532158883,-0.6492032549721494,1.0,0.09908982916406193,-0.11404905013264771,0.1939638306450861,0.41265634500470777,-0.06435143950572347,-0.45474469393349065,0.04177480394956451,0.26520104263272
Silt (%),-0.0646534549570962,0.07405781617123935,0.07438876461020444,-0.09359103610205273,-0.06010655620911584,-0.15199259263698991,0.09908982916406193,1.0,0.2265123951170637,0.031082973225298086,0.3722371349007896,0.13935030672089954,0.18809311526615327,0.13800896789709427,0.193763278213167
Clay (%),-0.0058629584263079244,0.03682940528990348,-0.1843985649860961,-0.20819943373562824,-0.31226687349243953,0.046430274136517784,-0.11404905013264771,0.2265123951170637,1.0,0.17488997627522074,-0.03143054476545813,0.029614068317173267,-0.12443741888434728,-0.028618980514628124,-0.32970561580880964
pH,0.1378879156599939,-0.012710075979812201,0.1318540587812206,-0.19120191618242494,0.028331701078350903,-0.0601254153514824,0.1939638306450861,0.031082973225298086,0.17488997627522074,1.0,0.06566161625259787,0.1104434872059513,-0.1231635187263824,0.00045345447629458775,-0.07075005968683368
TDS (mg/L),0.09173207592429554,0.12251594445971013,0.002383366581527841,-0.14198585461764984,0.06861288886675226,-0.4399619993864961,0.41265634500470777,0.3722371349007896,-0.03143054476545813,0.06566161625259787,1.0,0.3725797357825178,-0.11797252425887794,0.3139016014432397,0.2631494659639673
SOM (g/kg),0.2414421688776231,0.1388446352096238,-0.047023039354144876,0.03235629929156477,0.006347360568756534,0.07566332946453906,-0.06435143950572347,0.13935030672089954,0.029614068317173267,0.1104434872059513,0.3725797357825178,1.0,0.14768905430934737,0.32994521904529794,0.01963107277489849
Cu (mg/kg),-0.033258927743950784,0.11199161525582406,-0.032053197200602915,0.2711403633209101,-0.07754529853719629,0.27349276103559106,-0.45474469393349065,0.18809311526615327,-0.12443741888434728,-0.1231635187263824,-0.11797252425887794,0.14768905430934737,1.0,0.2642944892944893,0.3046865230933163
Zn (mg/kg),0.07770806230143516,0.2374050191717951,-0.1095242342795899,-0.006732009409926753,-0.09426275383209347,-0.056630101139523145,0.04177480394956451,0.13800896789709427,-0.028618980514628124,0.00045345447629458775,0.3139016014432397,0.32994521904529794,0.2642944892944893,1.0,0.5891597691304303
Pb (mg/kg),-0.1303207583763264,0.17203013754051916,0.04387957579176582,0.0038057262745588515,0.06868212645415227,-0.29168559054907317,0.26520104263272,0.193763278213167,-0.32970561580880964,-0.07075005968683368,0.2631494659639673,0.01963107277489849,0.3046865230933163,0.5891597691304303,1.0
