Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Dist_Tailing (m),15.686720071105698,16.84,16.84
Silt (%),11.726239222460011,12.59,29.43
Elevation (m),11.444348594351975,12.28,41.71
Clay (%),9.168038079253078,9.84,51.55
aspect_sin,8.306631441157762,8.92,60.47
NDVI,6.977428444000213,7.49,67.96
Land Use,6.947191280806287,7.46,75.41999999999999
SOM (g/kg),5.3046735685708395,5.69,81.10999999999999
TDS (mg/L),5.158362670973933,5.54,86.64999999999999
pH,4.359318587379121,4.68,91.32999999999998
Slope (%),3.889556760406849,4.17,95.49999999999999
aspect_cos,3.811152395989977,4.09,99.58999999999999
Dist_Near_Road (m),0.3864126565507513,0.41,99.99999999999999
