Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Dist_Tailing (m),10.642259756452473,19.86,19.86
Silt (%),9.419562094994646,17.58,37.44
Elevation (m),5.210690396189287,9.73,47.17
Clay (%),5.208147523305731,9.72,56.89
aspect_sin,4.278702306544784,7.99,64.88
Dist_Near_Road (m),4.190947227301816,7.82,72.69999999999999
SOM (g/kg),3.9823943056801654,7.43,80.13
TDS (mg/L),3.192215033030398,5.96,86.08999999999999
pH,2.8314909781414563,5.28,91.36999999999999
Slope (%),2.176195717872481,4.06,95.42999999999999
NDVI,2.106658955831076,3.93,99.36
aspect_cos,0.33754873428790694,0.63,99.99
Land Use,0.0,0.0,99.99
