Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Dist_Tailing (m),34.20400599490493,22.15,22.15
Silt (%),25.62559179640051,16.6,38.75
Land Use,20.501849610159233,13.28,52.03
Elevation (m),18.271503699510408,11.83,63.86
Clay (%),14.601535467713877,9.46,73.32
TDS (mg/L),11.457476731459417,7.42,80.74
aspect_sin,8.049382811090458,5.21,85.94999999999999
SOM (g/kg),7.2134373157240965,4.67,90.61999999999999
NDVI,5.320369374949611,3.45,94.07
Dist_Near_Road (m),4.941754275880311,3.2,97.27
aspect_cos,2.7475090449951747,1.78,99.05
Slope (%),1.4646514061121039,0.95,100.0
pH,0.0,0.0,100.0
