Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Silt (%),16.051960016563733,21.28,21.28
Dist_Tailing (m),10.093489604520832,13.38,34.660000000000004
Elevation (m),7.357604027307168,9.76,44.42
aspect_sin,5.671828298538125,7.52,51.94
Dist_Near_Road (m),5.436167748017956,7.21,59.15
SOM (g/kg),5.431313475895455,7.2,66.35
Clay (%),5.3973546572060425,7.16,73.50999999999999
pH,4.93232431884553,6.54,80.05
Slope (%),4.444486659068629,5.89,85.94
aspect_cos,4.286918638122824,5.68,91.62
TDS (mg/L),3.4338209510463744,4.55,96.17
NDVI,2.5807558128116033,3.42,99.59
Land Use,0.30022296573722623,0.4,99.99000000000001
