Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Dist_Near_Road (m),1.548085032764623,23.58,23.58
SOM (g/kg),1.001978292929901,15.26,38.839999999999996
Slope (%),0.8279219116775822,12.61,51.449999999999996
aspect_cos,0.523559767617059,7.97,59.419999999999995
Clay (%),0.46594726618311716,7.1,66.52
Land Use,0.46467906941289344,7.08,73.6
NDVI,0.37583569830247854,5.72,79.32
pH,0.3502470201059717,5.33,84.64999999999999
Dist_Tailing (m),0.2950937170241378,4.49,89.13999999999999
Elevation (m),0.226504451970536,3.45,92.58999999999999
aspect_sin,0.18654410750888603,2.84,95.42999999999999
Silt (%),0.1648099395978089,2.51,97.94
TDS (mg/L),0.1345808960281669,2.05,99.99
