Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Clay (%),0.42420883482794264,16.05,16.05
Dist_Tailing (m),0.3914425530143673,14.81,30.86
Dist_Near_Road (m),0.3641804151557763,13.78,44.64
Land Use,0.31950502561844096,12.09,56.730000000000004
Slope (%),0.2942866856377332,11.13,67.86
TDS (mg/L),0.2444660128357631,9.25,77.11
SOM (g/kg),0.11526044212406872,4.36,81.47
aspect_sin,0.11305215605763146,4.28,85.75
Elevation (m),0.10716308788353421,4.05,89.8
NDVI,0.09148351175134088,3.46,93.25999999999999
pH,0.07872316349356215,2.98,96.24
aspect_cos,0.07667112442433134,2.9,99.14
Silt (%),0.02317850989460251,0.88,100.02
