Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Dist_Tailing (m),0.4473426599188711,13.95,13.95
Dist_Near_Road (m),0.43356135708646554,13.52,27.47
Clay (%),0.39360579693219966,12.28,39.75
Slope (%),0.38925323521207994,12.14,51.89
Elevation (m),0.31097816368299364,9.7,61.59
pH,0.27979060437911224,8.73,70.32000000000001
TDS (mg/L),0.24408025656503196,7.61,77.93
SOM (g/kg),0.187572212739094,5.85,83.78
Silt (%),0.16939066361417981,5.28,89.06
NDVI,0.1447506570090175,4.51,93.57000000000001
aspect_sin,0.08843165076700432,2.76,96.33000000000001
aspect_cos,0.06895145342062882,2.15,98.48000000000002
Land Use,0.04853341894355389,1.51,99.99000000000002
