Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
Clay (%),1.1084398426960953,23.7,23.7
Dist_Tailing (m),0.8852467883841851,18.93,42.629999999999995
Slope (%),0.7361573895321364,15.74,58.37
TDS (mg/L),0.6648251503979653,14.22,72.59
aspect_cos,0.5496193112341239,11.75,84.34
aspect_sin,0.5098520485691324,10.9,95.24000000000001
NDVI,0.21932006679735772,4.69,99.93
Silt (%),0.0006082614162517257,0.01,99.94000000000001
Land Use,0.0005615909944068558,0.01,99.95000000000002
SOM (g/kg),0.0005589474524784867,0.01,99.96000000000002
pH,0.0005195633028739852,0.01,99.97000000000003
Elevation (m),0.00030342311670211996,0.01,99.98000000000003
Dist_Near_Road (m),0.0002816136629257423,0.01,99.99000000000004
