Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
SOM (g/kg),2.355668434410842,32.22,32.22
aspect_sin,0.9301147005326741,12.72,44.94
Clay (%),0.7823486059666471,10.7,55.64
aspect_cos,0.728365973060354,9.96,65.6
Dist_Tailing (m),0.6718149033355809,9.19,74.78999999999999
Silt (%),0.6452245025542387,8.83,83.61999999999999
Dist_Near_Road (m),0.3992880310837624,5.46,89.07999999999998
Land Use,0.3067407873831943,4.2,93.27999999999999
Slope (%),0.18973013983629727,2.6,95.87999999999998
NDVI,0.09385499385500905,1.28,97.15999999999998
TDS (mg/L),0.09352854042837826,1.28,98.43999999999998
Elevation (m),0.07362946900355975,1.01,99.44999999999999
pH,0.040799732693877606,0.56,100.00999999999999
