Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
SOM (g/kg),1.5449809038324545,24.01,24.01
TDS (mg/L),1.040922554096831,16.18,40.19
Clay (%),0.9629189894903929,14.96,55.15
aspect_sin,0.7276444116142603,11.31,66.46
Dist_Tailing (m),0.3980875087823371,6.19,72.64999999999999
Dist_Near_Road (m),0.37899836577548757,5.89,78.53999999999999
Silt (%),0.3465726157188054,5.39,83.92999999999999
NDVI,0.2732097130988586,4.25,88.17999999999999
aspect_cos,0.24795834061869487,3.85,92.02999999999999
Elevation (m),0.18616726836279704,2.89,94.91999999999999
Slope (%),0.11188708155805509,1.74,96.65999999999998
pH,0.10894706971682744,1.69,98.34999999999998
Land Use,0.10622328137983962,1.65,99.99999999999999
