Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
SOM (g/kg),3.672781669862436,27.96,27.96
Clay (%),1.7860114742662863,13.6,41.56
Elevation (m),1.6441189758318162,12.52,54.08
Dist_Tailing (m),1.2825361965621085,9.76,63.839999999999996
Slope (%),0.8519273696174656,6.48,70.32
Dist_Near_Road (m),0.846866421805769,6.45,76.77
pH,0.6828189065941683,5.2,81.97
aspect_cos,0.6224604186556288,4.74,86.71
Land Use,0.5678350806985518,4.32,91.03
Silt (%),0.4680998215682621,3.56,94.59
NDVI,0.4429757373514985,3.37,97.96000000000001
TDS (mg/L),0.21620335065819113,1.65,99.61000000000001
aspect_sin,0.05227021441886021,0.4,100.01000000000002
