Feature,Mean_|SHAP|,Contribution (%),Cumulative (%)
SOM (g/kg),2.0499152769276776,25.78,25.78
aspect_sin,1.094156187475822,13.76,39.54
Clay (%),0.7288944124019668,9.17,48.71
Dist_Near_Road (m),0.7196058006072955,9.05,57.760000000000005
TDS (mg/L),0.704185697757021,8.86,66.62
aspect_cos,0.6737733985545465,8.47,75.09
Elevation (m),0.4543940188135877,5.71,80.8
Dist_Tailing (m),0.39693396790502755,4.99,85.78999999999999
Slope (%),0.36602811422893466,4.6,90.38999999999999
Silt (%),0.3084933537785623,3.88,94.26999999999998
NDVI,0.29523200144614514,3.71,97.97999999999998
pH,0.15115374128946815,1.9,99.87999999999998
Land Use,0.009075807706415657,0.11,99.98999999999998
